players_used,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,url
23,13,31,196,85,43.4,15.08,6.54,0.15,0.34,17.2,4,2,5,26.5,22.6,0.12,4.5,6.4,/en/squads/b8fd03ef/2022-2023/Manchester-City-Stats
19,6,8,79,23,29.1,13.17,3.83,0.09,0.3,19.0,4,1,1,8.6,7.9,0.1,-0.6,-0.9,/en/squads/5725cc7b/2022-2023/Marseille-Stats
23,12,14,135,42,31.1,11.25,3.5,0.09,0.29,17.5,3,2,3,16.5,14.1,0.11,-2.5,-2.1,/en/squads/dc56fe14/2022-2023/Milan-Stats
22,10,26,167,63,37.7,16.7,6.3,0.13,0.35,16.7,2,4,8,25.2,19.1,0.12,0.8,2.9,/en/squads/d48ad4ff/2022-2023/Napoli-Stats
21,8,15,99,41,41.4,12.38,5.12,0.14,0.34,17.6,8,1,1,10.8,10.0,0.1,4.2,4.0,/en/squads/e2d8892c/2022-2023/Paris-Saint-Germain-Stats
24,8,12,111,38,34.2,13.87,4.75,0.08,0.24,16.5,1,3,3,15.2,12.9,0.12,-3.2,-3.9,/en/squads/5e876ee6/2022-2023/Porto-Stats
22,8,13,88,34,38.6,11.0,4.25,0.15,0.38,15.8,3,0,0,11.7,11.7,0.13,1.3,1.3,/en/squads/acbb6a5b/2022-2023/RB-Leipzig-Stats
19,6,5,84,27,32.1,14.0,4.5,0.05,0.15,19.1,3,1,1,8.3,7.5,0.09,-3.3,-3.5,/en/squads/50f2a074/2022-2023/Red-Bull-Salzburg-Stats
22,6,2,43,10,23.3,7.17,1.67,0.02,0.1,17.6,2,1,1,4.9,4.1,0.1,-2.9,-3.1,/en/squads/86b7acd2/2022-2023/Rangers-Stats
22,12,26,184,74,40.2,15.33,6.17,0.13,0.31,17.6,5,3,3,22.3,20.5,0.12,3.7,2.5,/en/squads/53a2f082/2022-2023/Real-Madrid-Stats
24,6,6,68,24,35.3,11.33,4.0,0.09,0.25,17.5,2,0,0,5.4,5.4,0.08,0.6,0.6,/en/squads/ad2be733/2022-2023/Sevilla-Stats
20,6,8,45,15,33.3,7.5,2.5,0.18,0.53,19.9,1,0,0,3.7,3.7,0.08,4.3,4.3,/en/squads/e89d5a28/2022-2023/Shakhtar-Donetsk-Stats
25,6,8,45,21,46.7,7.5,3.5,0.18,0.38,18.5,1,0,0,3.8,3.8,0.09,4.2,4.2,/en/squads/13dc44fd/2022-2023/Sporting-CP-Stats
25,8,8,95,29,30.5,11.87,3.62,0.07,0.24,17.3,4,1,2,10.0,8.4,0.09,-2.0,-1.4,/en/squads/361ca564/2022-2023/Tottenham-Hotspur-Stats
22,6,5,67,19,28.4,11.17,3.17,0.06,0.21,18.9,0,1,1,5.5,4.8,0.07,-0.5,-0.8,/en/squads/02cd81bf/2022-2023/Viktoria-Plzen-Stats
