players_used,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,url
22,8.3,10,116,34,29.3,13.92,4.08,0.06,0.21,16.9,4,3,3,16.2,13.9,0.12,-6.2,-6.9,/en/squads/d609edc0/2023-2024/Internazionale-Stats
21,8.0,8,91,26,28.6,11.37,3.25,0.07,0.23,18.8,3,2,2,10.6,9.0,0.1,-2.6,-3.0,/en/squads/7213da33/2023-2024/Lazio-Stats
20,6.0,6,59,15,25.4,9.83,2.5,0.08,0.33,16.8,2,1,1,6.1,5.3,0.09,-0.1,-0.3,/en/squads/fd4e0f7d/2023-2024/Lens-Stats
25,10.3,28,213,79,37.1,20.61,7.65,0.12,0.32,15.9,9,3,3,24.6,22.3,0.11,3.4,2.7,/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats
24,6.0,12,70,26,37.1,11.67,4.33,0.16,0.42,16.0,2,1,1,10.5,9.7,0.14,1.5,1.3,/en/squads/19538871/2023-2024/Manchester-United-Stats
23,6.0,5,94,27,28.7,15.67,4.5,0.05,0.19,16.9,4,0,1,9.6,8.9,0.1,-4.6,-3.9,/en/squads/dc56fe14/2023-2024/Milan-Stats
23,8.0,10,108,32,29.6,13.5,4.0,0.08,0.28,16.9,3,1,1,10.5,9.8,0.09,-0.5,-0.8,/en/squads/d48ad4ff/2023-2024/Napoli-Stats
23,6.0,6,62,25,40.3,10.33,4.17,0.1,0.24,18.2,4,0,0,5.9,5.9,0.1,0.1,0.1,/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats
22,8.0,8,124,42,33.9,15.5,5.25,0.05,0.14,18.4,2,2,2,11.0,9.4,0.08,-3.0,-3.4,/en/squads/e334d850/2023-2024/PSV-Eindhoven-Stats
21,12.0,19,211,63,29.9,17.58,5.25,0.08,0.25,17.8,3,3,3,24.3,22.0,0.11,-5.3,-6.0,/en/squads/e2d8892c/2023-2024/Paris-Saint-Germain-Stats
25,8.3,16,103,45,43.7,12.36,5.4,0.15,0.33,16.5,1,1,1,11.4,10.7,0.11,4.6,4.3,/en/squads/5e876ee6/2023-2024/Porto-Stats
23,8.0,14,124,41,33.1,15.5,5.12,0.11,0.34,18.0,5,0,0,12.2,12.2,0.1,1.8,1.8,/en/squads/acbb6a5b/2023-2024/RB-Leipzig-Stats
23,6.0,4,71,22,31.0,11.83,3.67,0.04,0.14,19.4,1,1,2,7.4,5.9,0.08,-3.4,-2.9,/en/squads/50f2a074/2023-2024/Red-Bull-Salzburg-Stats
23,13.3,26,212,72,34.0,15.9,5.4,0.12,0.35,17.0,5,1,2,25.1,23.6,0.12,0.9,1.4,/en/squads/53a2f082/2023-2024/Real-Madrid-Stats
26,8.0,8,106,34,32.1,13.25,4.25,0.08,0.24,17.1,2,0,1,10.3,9.5,0.09,-2.3,-1.5,/en/squads/e31d1cd9/2023-2024/Real-Sociedad-Stats
22,6.0,6,83,27,32.5,13.83,4.5,0.07,0.22,17.2,0,0,0,8.7,8.7,0.11,-2.7,-2.7,/en/squads/099c6eb5/2023-2024/Red-Star-Stats
24,6.0,7,52,17,32.7,8.67,2.83,0.12,0.35,16.2,0,1,1,5.9,5.1,0.1,1.1,0.9,/en/squads/ad2be733/2023-2024/Sevilla-Stats
21,6.0,9,69,26,37.7,11.5,4.33,0.13,0.35,17.5,2,0,0,7.4,7.4,0.11,1.6,1.6,/en/squads/e89d5a28/2023-2024/Shakhtar-Donetsk-Stats
21,6.0,6,57,20,35.1,9.5,3.33,0.11,0.3,17.2,2,0,0,5.6,5.6,0.1,0.4,0.4,/en/squads/7a41008f/2023-2024/Union-Berlin-Stats
23,6.0,6,73,21,28.8,12.17,3.5,0.07,0.24,19.9,2,1,1,6.4,5.6,0.08,-0.4,-0.6,/en/squads/4b682260/2023-2024/Young-Boys-Stats
