players_used,Age,Poss,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,url
25,26.1,69.6,10,110,930,10.3,28,20,48,25,3,3,10,0,24.6,22.3,16.5,38.8,346,636,2.71,1.94,4.65,2.42,4.35,2.38,1.6,3.98,2.16,3.75,/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats
24,26.3,46.3,6,66,540,6.0,12,9,21,11,1,1,13,2,10.5,9.7,7.1,16.8,102,214,2.0,1.5,3.5,1.83,3.33,1.75,1.18,2.94,1.62,2.8,/en/squads/19538871/2023-2024/Manchester-United-Stats
23,26.4,43.7,6,66,540,6.0,5,5,10,5,0,1,17,0,9.6,8.9,7.4,16.3,132,204,0.83,0.83,1.67,0.83,1.67,1.6,1.24,2.84,1.48,2.72,/en/squads/dc56fe14/2023-2024/Milan-Stats
23,27.1,53.5,8,88,720,8.0,10,5,15,9,1,1,14,0,10.5,9.8,8.1,17.9,169,352,1.25,0.62,1.87,1.13,1.75,1.32,1.02,2.33,1.22,2.24,/en/squads/d48ad4ff/2023-2024/Napoli-Stats
23,27.6,45.5,6,66,540,6.0,6,5,11,6,0,0,11,0,5.9,5.9,4.2,10.1,92,232,1.0,0.83,1.83,1.0,1.83,0.99,0.7,1.68,0.99,1.68,/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats
22,25.6,51.8,8,88,720,8.0,8,5,13,6,2,2,13,0,11.0,9.4,7.5,17.0,174,347,1.0,0.62,1.62,0.75,1.37,1.37,0.94,2.32,1.18,2.12,/en/squads/e334d850/2023-2024/PSV-Eindhoven-Stats
21,24.5,64.3,12,132,1080,12.0,19,12,31,16,3,3,30,0,24.3,22.0,19.0,40.9,378,667,1.58,1.0,2.58,1.33,2.33,2.02,1.58,3.6,1.83,3.41,/en/squads/e2d8892c/2023-2024/Paris-Saint-Germain-Stats
25,26.4,47.9,8,88,750,8.3,16,12,28,15,1,1,15,0,11.4,10.7,7.8,18.5,132,292,1.92,1.44,3.36,1.8,3.24,1.36,0.94,2.3,1.28,2.22,/en/squads/5e876ee6/2023-2024/Porto-Stats
23,25.6,46.5,8,88,720,8.0,14,13,27,14,0,0,18,0,12.2,12.2,9.9,22.1,151,231,1.75,1.62,3.38,1.75,3.38,1.52,1.24,2.76,1.52,2.76,/en/squads/acbb6a5b/2023-2024/RB-Leipzig-Stats
23,22.3,43.0,6,66,540,6.0,4,3,7,3,1,2,16,0,7.4,5.9,4.8,10.7,116,203,0.67,0.5,1.17,0.5,1.0,1.23,0.8,2.04,0.99,1.79,/en/squads/50f2a074/2023-2024/Red-Bull-Salzburg-Stats
23,27.2,53.1,13,143,1200,13.3,26,21,47,25,1,2,22,0,25.1,23.6,19.0,42.6,298,560,1.95,1.58,3.52,1.87,3.45,1.88,1.43,3.31,1.77,3.19,/en/squads/53a2f082/2023-2024/Real-Madrid-Stats
26,25.9,52.3,8,88,720,8.0,8,5,13,8,0,1,18,0,10.3,9.5,7.4,16.9,141,335,1.0,0.62,1.62,1.0,1.62,1.28,0.93,2.21,1.19,2.11,/en/squads/e31d1cd9/2023-2024/Real-Sociedad-Stats
22,26.6,40.7,6,66,540,6.0,6,5,11,6,0,0,21,0,8.7,8.7,6.6,15.3,90,189,1.0,0.83,1.83,1.0,1.83,1.45,1.1,2.55,1.45,2.55,/en/squads/099c6eb5/2023-2024/Red-Star-Stats
24,29.8,48.8,6,66,540,6.0,7,6,13,6,1,1,16,2,5.9,5.1,4.6,9.8,79,178,1.17,1.0,2.17,1.0,2.0,0.99,0.77,1.76,0.86,1.63,/en/squads/ad2be733/2023-2024/Sevilla-Stats
21,24.9,44.3,6,66,540,6.0,9,7,16,9,0,0,15,0,7.4,7.4,5.8,13.1,73,154,1.5,1.17,2.67,1.5,2.67,1.23,0.97,2.19,1.23,2.19,/en/squads/e89d5a28/2023-2024/Shakhtar-Donetsk-Stats
21,28.5,33.8,6,66,540,6.0,6,4,10,6,0,0,16,0,5.6,5.6,4.5,10.2,84,165,1.0,0.67,1.67,1.0,1.67,0.94,0.75,1.69,0.94,1.69,/en/squads/7a41008f/2023-2024/Union-Berlin-Stats
23,25.7,43.3,6,66,540,6.0,6,5,11,5,1,1,15,1,6.4,5.6,4.5,10.1,85,142,1.0,0.83,1.83,0.83,1.67,1.06,0.75,1.81,0.93,1.68,/en/squads/4b682260/2023-2024/Young-Boys-Stats
