players_used,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,url
2,6.0,8,1,0,2,0,6.9,0.22,-1.1,-0.19,33,63,52.4,142,31,33.8,30.8,47,31.9,36.1,70,4,5.7,9,1.5,3.0,/en/squads/dc56fe14/2023-2024/Milan-Stats
1,8.0,13,0,0,0,1,11.0,0.25,-1.0,-0.12,22,46,47.8,183,38,13.7,26.4,81,25.9,27.3,123,3,2.4,9,1.13,14.9,/en/squads/d48ad4ff/2023-2024/Napoli-Stats
2,6.0,7,1,0,1,0,11.1,0.33,4.1,0.69,25,69,36.2,113,33,30.1,28.5,50,70.0,51.0,79,6,7.6,6,1.0,14.0,/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats
1,8.0,13,0,0,1,0,10.9,0.33,-2.1,-0.26,33,86,38.4,205,27,31.7,30.4,65,32.3,30.4,89,1,1.1,6,0.75,18.0,/en/squads/e334d850/2023-2024/PSV-Eindhoven-Stats
1,12.0,15,0,0,3,0,14.8,0.29,-0.2,-0.01,31,72,43.1,274,45,19.0,26.7,80,25.0,27.8,108,2,1.9,18,1.5,15.5,/en/squads/e2d8892c/2023-2024/Paris-Saint-Germain-Stats
1,8.3,9,0,0,0,1,5.9,0.22,-2.1,-0.25,39,118,33.1,313,37,29.7,33.2,61,41.0,37.5,86,8,9.3,14,1.68,16.4,/en/squads/5e876ee6/2023-2024/Porto-Stats
2,8.0,12,0,0,0,1,10.6,0.36,-0.4,-0.06,26,54,48.1,278,26,15.1,27.6,65,18.5,27.0,90,0,0.0,8,1.0,19.4,/en/squads/acbb6a5b/2023-2024/RB-Leipzig-Stats
1,6.0,8,2,0,1,0,9.7,0.23,1.7,0.28,33,86,38.4,202,20,32.7,33.4,54,37.0,34.5,87,3,3.4,7,1.17,14.0,/en/squads/50f2a074/2023-2024/Red-Bull-Salzburg-Stats
3,13.3,15,2,1,1,0,17.0,0.23,2.0,0.15,40,108,37.0,323,70,23.5,24.0,100,32.0,30.6,171,15,8.8,5,0.38,9.3,/en/squads/53a2f082/2023-2024/Real-Madrid-Stats
1,8.0,6,0,0,1,0,7.9,0.31,1.9,0.23,55,144,38.2,223,8,52.0,40.6,36,77.8,55.9,81,2,2.5,6,0.75,15.6,/en/squads/e31d1cd9/2023-2024/Real-Sociedad-Stats
1,6.0,15,2,1,2,1,15.1,0.31,1.1,0.18,30,61,49.2,116,16,36.2,33.9,61,31.1,31.6,84,1,1.2,5,0.83,11.9,/en/squads/099c6eb5/2023-2024/Red-Star-Stats
2,6.0,12,2,1,0,1,10.7,0.33,-0.3,-0.05,41,110,37.3,173,20,42.8,34.5,57,63.2,46.8,79,6,7.6,2,0.33,8.5,/en/squads/ad2be733/2023-2024/Sevilla-Stats
1,6.0,12,0,0,1,0,11.3,0.31,-0.7,-0.12,27,61,44.3,161,24,28.0,28.0,44,36.4,32.9,93,8,8.6,10,1.67,16.3,/en/squads/e89d5a28/2023-2024/Shakhtar-Donetsk-Stats
1,6.0,10,0,0,3,0,10.4,0.33,0.4,0.07,30,89,33.7,150,31,44.7,36.4,48,45.8,40.7,116,7,6.0,1,0.17,6.5,/en/squads/7a41008f/2023-2024/Union-Berlin-Stats
2,6.0,13,2,0,3,0,14.9,0.31,1.9,0.31,36,94,38.3,190,31,38.9,34.3,56,35.7,31.8,71,2,2.8,4,0.67,13.5,/en/squads/4b682260/2023-2024/Young-Boys-Stats
