players_used,Poss,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,url
25,52.0,14.0,9095,901,2835,4188,2158,365,9087,281,137,48.8,124,44.1,5702,26828,13756,259,185,86,190,124,6336,556,/en/squads/add600ae/2024-2025/Dortmund-Stats
29,42.5,12.0,6297,914,2345,2695,1318,208,6294,211,88,41.7,108,51.2,3610,19880,10175,184,131,56,140,91,3994,376,/en/squads/fb4ca611/2024-2025/Feyenoord-Stats
26,50.9,8.0,4784,619,1708,2127,994,129,4782,137,67,48.9,53,38.7,2890,16747,8362,133,83,29,108,77,3371,280,/en/squads/9024a00a/Girona-Stats
25,47.0,15.3,9121,1400,3795,3569,1847,313,9114,190,100,52.6,69,36.3,5812,28172,13716,227,196,54,167,101,6265,485,/en/squads/d609edc0/2024-2025/Internazionale-Stats
26,51.1,10.3,6445,712,2236,2888,1392,200,6444,229,110,48.0,100,43.7,3934,24592,12461,217,149,59,165,88,4467,398,/en/squads/e0652b02/2024-2025/Juventus-Stats
25,56.3,10.0,7221,636,1841,3309,2100,260,7220,139,61,43.9,69,49.6,4158,18493,9480,186,140,57,118,74,5338,428,/en/squads/c7a9f859/2024-2025/Bayer-Leverkusen-Stats
25,48.4,10.0,6076,675,2047,2709,1395,205,6074,219,115,52.5,89,40.6,4197,22399,10051,164,161,49,166,109,4098,345,/en/squads/cb188c0c/Lille-Stats
27,51.0,10.3,6527,678,1976,2930,1689,301,6524,205,79,38.5,104,50.7,3909,19923,9953,197,139,76,119,81,4557,468,/en/squads/822bd0ba/2024-2025/Liverpool-Stats
26,63.4,10.0,7565,463,1319,3430,2861,378,7561,181,79,43.6,77,42.5,5019,28833,15577,315,265,92,103,94,5917,601,/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
26,53.0,10.0,6245,549,1727,2997,1601,268,6244,256,117,45.7,114,44.5,4152,24789,13938,244,185,88,113,76,4430,468,/en/squads/dc56fe14/Milan-Stats
25,51.1,10.0,5967,541,1812,2755,1455,202,5966,171,81,47.4,70,40.9,2721,15695,8344,170,113,48,165,100,3791,357,/en/squads/fd6114db/2024-2025/Monaco-Stats
28,54.8,12.3,8093,867,2433,3687,2041,335,8092,207,87,42.0,105,50.7,4456,23729,12084,225,148,73,152,89,5520,563,/en/squads/e334d850/2024-2025/PSV-Eindhoven-Stats
22,61.4,17.3,13329,1129,3559,6207,3685,584,13327,429,203,47.3,196,45.7,7471,39638,22633,492,376,196,206,181,9795,856,/en/squads/e2d8892c/2024-2025/Paris-Saint-Germain-Stats
23,47.5,8.0,4805,600,1831,2018,995,153,4804,120,50,41.7,62,51.7,2848,12256,6067,96,62,22,97,83,3166,245,/en/squads/acbb6a5b/RB-Leipzig-Stats
24,45.1,8.0,4808,564,1642,2062,1169,148,4807,183,89,48.6,76,41.5,3391,19558,9842,176,147,37,118,76,3131,283,/en/squads/50f2a074/2024-2025/Red-Bull-Salzburg-Stats
23,53.1,14.3,9558,992,2964,4107,2565,383,9555,292,142,48.6,129,44.2,6568,33155,17186,317,220,109,159,114,7074,596,/en/squads/53a2f082/2024-2025/Real-Madrid-Stats
24,44.6,8.0,4204,490,1417,1856,973,152,4203,141,77,54.6,53,37.6,2256,13095,6390,144,96,33,132,76,2613,282,/en/squads/099c6eb5/2024-2025/Red-Star-Stats
21,44.9,8.0,4535,683,2003,1734,833,137,4533,160,83,51.9,70,43.8,2518,13231,6164,103,68,33,96,59,2936,193,/en/squads/e89d5a28/2024-2025/Shakhtar-Donetsk-Stats
23,37.5,8.0,4055,711,1851,1616,634,100,4054,157,66,42.0,79,50.3,2124,11385,5507,95,52,28,103,60,2359,195,/en/squads/ae7f2f70/2024-2025/Slovan-Bratislava-Stats
26,33.9,8.0,3605,553,1457,1520,657,117,3605,106,46,43.4,54,50.9,1963,9524,4792,81,55,21,82,57,2014,182,/en/squads/ecb862be/2024-2025/Sparta-Prague-Stats
27,49.1,10.0,6063,722,2237,2664,1210,180,6061,207,83,40.1,97,46.9,3807,18751,9690,183,125,62,119,100,4227,337,/en/squads/13dc44fd/2024-2025/Sporting-CP-Stats
23,37.5,8.0,3928,598,1659,1628,697,98,3928,111,47,42.3,55,49.5,2198,10173,4678,74,61,17,113,76,2189,186,/en/squads/3f4fe568/2024-2025/Sturm-Graz-Stats
23,58.9,8.0,5631,529,1577,2503,1595,245,5630,130,66,50.8,56,43.1,3611,16327,7748,141,119,49,89,67,3908,391,/en/squads/598bc722/Stuttgart-Stats
24,41.8,8.0,4016,586,1561,1694,805,120,4016,138,72,52.2,57,41.3,2070,11580,6068,111,69,32,109,64,2395,219,/en/squads/4b682260/2024-2025/Young-Boys-Stats
