from,rank,team,country,level,elo,to,season
2025-01-31,8.0,Leverkusen,GER,1,1899.17333984,2025-02-01,2024-2025
2025-02-02,7.0,Leverkusen,GER,1,1899.17333984,2025-02-02,2024-2025
2025-02-03,7.0,Leverkusen,GER,1,1901.47802734,2025-02-08,2024-2025
2025-02-09,9.0,Leverkusen,GER,1,1896.546875,2025-02-11,2024-2025
2025-02-12,9.0,Leverkusen,GER,1,1902.32104492,2025-02-12,2024-2025
2025-02-13,8.0,Leverkusen,GER,1,1903.04296875,2025-02-13,2024-2025
2025-02-14,8.0,Leverkusen,GER,1,1905.83117676,2025-02-15,2024-2025
2025-02-16,9.0,Leverkusen,GER,1,1904.56787109,2025-02-18,2024-2025
2025-02-19,9.0,Leverkusen,GER,1,1904.6574707,2025-02-19,2024-2025
2025-02-20,9.0,Leverkusen,GER,1,1905.30627441,2025-02-20,2024-2025
2025-02-21,9.0,Leverkusen,GER,1,1899.95153809,2025-02-22,2024-2025
2025-02-23,8.0,Leverkusen,GER,1,1902.19421387,2025-02-23,2024-2025
2025-02-24,9.0,Leverkusen,GER,1,1902.19421387,2025-03-01,2024-2025
2025-03-02,9.0,Leverkusen,GER,1,1910.43188477,2025-03-04,2024-2025
2025-03-05,9.0,Leverkusen,GER,1,1909.71252441,2025-03-05,2024-2025
2025-03-06,9.0,Leverkusen,GER,1,1898.26049805,2025-03-06,2024-2025
2025-03-07,9.0,Leverkusen,GER,1,1900.68225098,2025-03-08,2024-2025
2025-03-09,10.0,Leverkusen,GER,1,1878.86621094,2025-03-09,2024-2025
2025-03-10,9.0,Leverkusen,GER,1,1878.86621094,2025-03-11,2024-2025
2025-03-12,11.0,Leverkusen,GER,1,1869.50524902,2025-03-12,2024-2025
2025-03-13,10.0,Leverkusen,GER,1,1873.63745117,2025-03-13,2024-2025
2025-03-14,10.0,Leverkusen,GER,1,1877.43212891,2025-03-16,2024-2025
2025-03-17,9.0,Leverkusen,GER,1,1882.55456543,2025-03-28,2024-2025
2025-03-29,9.0,Leverkusen,GER,1,1884.5871582,2025-04-05,2024-2025
2025-04-06,9.0,Leverkusen,GER,1,1886.7869873,2025-04-08,2024-2025
2025-04-09,9.0,Leverkusen,GER,1,1884.60192871,2025-04-09,2024-2025
2025-04-10,9.0,Leverkusen,GER,1,1882.85009766,2025-04-10,2024-2025
2025-04-11,9.0,Leverkusen,GER,1,1883.96362305,2025-04-12,2024-2025
2025-04-13,9.0,Leverkusen,GER,1,1876.97216797,2025-04-15,2024-2025
2025-04-16,9.0,Leverkusen,GER,1,1877.13537598,2025-04-16,2024-2025
2025-04-17,9.0,Leverkusen,GER,1,1876.80505371,2025-04-17,2024-2025
2025-04-18,10.0,Leverkusen,GER,1,1873.35778809,2025-04-19,2024-2025
2025-04-20,9.0,Leverkusen,GER,1,1873.35778809,2025-04-20,2024-2025
2025-04-21,9.0,Leverkusen,GER,1,1867.19104004,2025-04-26,2024-2025
2025-04-27,9.0,Leverkusen,GER,1,1871.15148926,2025-05-01,2024-2025
2025-05-02,11.0,Leverkusen,GER,1,1871.15148926,2025-05-04,2024-2025
2025-05-05,11.0,Leverkusen,GER,1,1867.12109375,2025-05-08,2024-2025
2025-05-09,12.0,Leverkusen,GER,1,1867.12109375,2025-05-11,2024-2025
2025-05-12,14.0,Leverkusen,GER,1,1851.94763184,2025-05-15,2024-2025
2025-05-16,13.0,Leverkusen,GER,1,1851.94763184,2025-05-17,2024-2025
2025-05-18,13.0,Leverkusen,GER,1,1848.78088379,2025-08-17,2024-2025
2024-08-01,76.0,FC Kobenhavn,DEN,1,1651.52209473,2024-08-01,2024-2025
2024-08-02,77.0,FC Kobenhavn,DEN,1,1651.21313477,2024-08-04,2024-2025
2024-08-05,83.0,FC Kobenhavn,DEN,1,1645.40917969,2024-08-06,2024-2025
2024-08-07,79.0,FC Kobenhavn,DEN,1,1647.70336914,2024-08-07,2024-2025
2024-08-08,78.0,FC Kobenhavn,DEN,1,1648.35119629,2024-08-08,2024-2025
2024-08-09,84.0,FC Kobenhavn,DEN,1,1643.69128418,2024-08-10,2024-2025
2024-08-11,83.0,FC Kobenhavn,DEN,1,1643.69128418,2024-08-11,2024-2025
2024-08-12,79.0,FC Kobenhavn,DEN,1,1647.34875488,2024-08-13,2024-2025
2024-08-14,78.0,FC Kobenhavn,DEN,1,1648.63439941,2024-08-15,2024-2025
2024-08-16,92.0,FC Kobenhavn,DEN,1,1630.19848633,2024-08-18,2024-2025
2024-08-19,96.0,FC Kobenhavn,DEN,1,1623.96411133,2024-08-20,2024-2025
2024-08-21,97.0,FC Kobenhavn,DEN,1,1623.96411133,2024-08-21,2024-2025
2024-08-22,96.0,FC Kobenhavn,DEN,1,1622.51293945,2024-08-22,2024-2025
2024-08-23,95.0,FC Kobenhavn,DEN,1,1624.67272949,2024-08-24,2024-2025
2024-08-25,96.0,FC Kobenhavn,DEN,1,1624.67272949,2024-08-25,2024-2025
2024-08-26,99.0,FC Kobenhavn,DEN,1,1616.5045166,2024-08-28,2024-2025
2024-08-29,,FC Kobenhavn,DEN,1,1609.53601074,2024-08-29,2024-2025
2024-08-30,,FC Kobenhavn,DEN,1,1610.91394043,2024-09-01,2024-2025
2024-09-02,93.0,FC Kobenhavn,DEN,1,1618.83557129,2024-09-14,2024-2025
2024-09-15,,FC Kobenhavn,DEN,1,1611.61376953,2024-09-23,2024-2025
2024-09-24,100.0,FC Kobenhavn,DEN,1,1614.43933105,2024-09-25,2024-2025
2024-09-26,,FC Kobenhavn,DEN,1,1614.07592773,2024-09-29,2024-2025
2024-09-30,,FC Kobenhavn,DEN,1,1616.66577148,2024-10-03,2024-2025
2024-10-04,,FC Kobenhavn,DEN,1,1602.44885254,2024-10-06,2024-2025
2024-10-07,,FC Kobenhavn,DEN,1,1599.53369141,2024-10-18,2024-2025
2024-10-19,,FC Kobenhavn,DEN,1,1602.07873535,2024-10-24,2024-2025
2024-10-25,,FC Kobenhavn,DEN,1,1611.53393555,2024-10-27,2024-2025
2024-10-28,100.0,FC Kobenhavn,DEN,1,1610.87683105,2024-10-28,2024-2025
2024-10-29,99.0,FC Kobenhavn,DEN,1,1610.87683105,2024-11-01,2024-2025
2024-11-02,100.0,FC Kobenhavn,DEN,1,1610.87683105,2024-11-03,2024-2025
2024-11-04,98.0,FC Kobenhavn,DEN,1,1610.87683105,2024-11-04,2024-2025
2024-11-05,,FC Kobenhavn,DEN,1,1605.94287109,2024-11-07,2024-2025
2024-11-08,,FC Kobenhavn,DEN,1,1591.56848145,2024-11-10,2024-2025
2024-11-11,,FC Kobenhavn,DEN,1,1590.72912598,2024-11-24,2024-2025
2024-11-25,,FC Kobenhavn,DEN,1,1592.91015625,2024-11-28,2024-2025
2024-11-29,,FC Kobenhavn,DEN,1,1593.5637207,2024-12-02,2024-2025
2024-12-03,,FC Kobenhavn,DEN,1,1601.92822266,2024-12-12,2024-2025
2024-12-13,,FC Kobenhavn,DEN,1,1604.98486328,2024-12-19,2024-2025
2024-12-20,,FC Kobenhavn,DEN,1,1581.38916016,2024-12-31,2024-2025
2025-01-01,,FC Kobenhavn,DEN,1,1581.38916016,2025-01-23,2024-2025
2025-01-24,,FC Kobenhavn,DEN,1,1587.61303711,2025-01-30,2024-2025
2025-01-31,,FC Kobenhavn,DEN,1,1587.84350586,2025-02-13,2024-2025
2025-02-14,,FC Kobenhavn,DEN,1,1572.76367188,2025-02-17,2024-2025
2025-02-18,,FC Kobenhavn,DEN,1,1579.32653809,2025-02-20,2024-2025
2025-02-21,,FC Kobenhavn,DEN,1,1601.64208984,2025-02-21,2024-2025
2025-02-22,100.0,FC Kobenhavn,DEN,1,1601.64208984,2025-02-22,2024-2025
2025-02-23,,FC Kobenhavn,DEN,1,1601.64208984,2025-02-23,2024-2025
2025-02-24,97.0,FC Kobenhavn,DEN,1,1607.75463867,2025-03-01,2024-2025
2025-03-02,96.0,FC Kobenhavn,DEN,1,1607.75463867,2025-03-02,2024-2025
2025-03-03,100.0,FC Kobenhavn,DEN,1,1601.81945801,2025-03-03,2024-2025
2025-03-04,99.0,FC Kobenhavn,DEN,1,1601.81945801,2025-03-05,2024-2025
2025-03-06,100.0,FC Kobenhavn,DEN,1,1601.81945801,2025-03-06,2024-2025
2025-03-07,,FC Kobenhavn,DEN,1,1599.02478027,2025-03-09,2024-2025
2025-03-10,,FC Kobenhavn,DEN,1,1591.64904785,2025-03-13,2024-2025
2025-03-14,,FC Kobenhavn,DEN,1,1590.03393555,2025-03-16,2024-2025
2025-03-17,,FC Kobenhavn,DEN,1,1578.7911377,2025-03-31,2024-2025
2025-04-01,,FC Kobenhavn,DEN,1,1583.22351074,2025-04-06,2024-2025
2025-04-07,,FC Kobenhavn,DEN,1,1590.84472656,2025-04-13,2024-2025
2025-04-14,,FC Kobenhavn,DEN,1,1580.65820312,2025-04-17,2024-2025
2025-04-18,,FC Kobenhavn,DEN,1,1570.12243652,2025-04-21,2024-2025
2025-04-22,,FC Kobenhavn,DEN,1,1577.54919434,2025-04-27,2024-2025
2025-04-28,,FC Kobenhavn,DEN,1,1587.55065918,2025-05-04,2024-2025
2025-05-05,,FC Kobenhavn,DEN,1,1602.44067383,2025-05-10,2024-2025
2025-05-11,99.0,FC Kobenhavn,DEN,1,1602.44067383,2025-05-11,2024-2025
2025-05-12,,FC Kobenhavn,DEN,1,1600.51477051,2025-05-18,2024-2025
2025-05-19,95.0,FC Kobenhavn,DEN,1,1613.58129883,2025-05-24,2024-2025
2025-05-25,97.0,FC Kobenhavn,DEN,1,1613.58129883,2025-05-25,2024-2025
2025-05-26,91.0,FC Kobenhavn,DEN,1,1621.63195801,2025-05-31,2024-2025
2025-06-01,90.0,FC Kobenhavn,DEN,1,1621.63195801,2025-06-21,2024-2025
2025-06-22,91.0,FC Kobenhavn,DEN,1,1621.63195801,2025-06-29,2024-2025
2025-06-30,90.0,FC Kobenhavn,DEN,1,1621.63195801,2025-07-18,2024-2025
2024-08-02,54.0,Slavia Praha,CZE,1,1702.14013672,2024-08-02,2024-2025
2024-08-03,52.0,Slavia Praha,CZE,1,1704.86694336,2024-08-06,2024-2025
2024-08-07,54.0,Slavia Praha,CZE,1,1703.54260254,2024-08-07,2024-2025
2024-08-08,46.0,Slavia Praha,CZE,1,1715.49902344,2024-08-08,2024-2025
2024-08-09,45.0,Slavia Praha,CZE,1,1715.51867676,2024-08-10,2024-2025
2024-08-11,44.0,Slavia Praha,CZE,1,1717.17993164,2024-08-13,2024-2025
2024-08-14,40.0,Slavia Praha,CZE,1,1730.19763184,2024-08-15,2024-2025
2024-08-16,38.0,Slavia Praha,CZE,1,1742.6973877,2024-08-17,2024-2025
2024-08-18,39.0,Slavia Praha,CZE,1,1743.58581543,2024-08-20,2024-2025
2024-08-21,41.0,Slavia Praha,CZE,1,1732.33190918,2024-08-21,2024-2025
2024-08-22,41.0,Slavia Praha,CZE,1,1734.21728516,2024-08-22,2024-2025
2024-08-23,41.0,Slavia Praha,CZE,1,1733.25976562,2024-08-24,2024-2025
2024-08-25,42.0,Slavia Praha,CZE,1,1733.25976562,2024-08-25,2024-2025
2024-08-26,43.0,Slavia Praha,CZE,1,1733.25976562,2024-08-27,2024-2025
2024-08-28,43.0,Slavia Praha,CZE,1,1734.4510498,2024-08-28,2024-2025
2024-08-29,43.0,Slavia Praha,CZE,1,1733.29064941,2024-08-29,2024-2025
2024-08-30,39.0,Slavia Praha,CZE,1,1740.61352539,2024-08-31,2024-2025
2024-09-01,41.0,Slavia Praha,CZE,1,1740.61352539,2024-09-01,2024-2025
2024-09-02,41.0,Slavia Praha,CZE,1,1741.91650391,2024-09-14,2024-2025
2024-09-15,38.0,Slavia Praha,CZE,1,1741.91650391,2024-09-15,2024-2025
2024-09-16,37.0,Slavia Praha,CZE,1,1741.91650391,2024-09-17,2024-2025
2024-09-18,37.0,Slavia Praha,CZE,1,1746.47802734,2024-09-18,2024-2025
2024-09-19,36.0,Slavia Praha,CZE,1,1749.79699707,2024-09-20,2024-2025
2024-09-21,37.0,Slavia Praha,CZE,1,1749.79699707,2024-09-21,2024-2025
2024-09-22,34.0,Slavia Praha,CZE,1,1756.09790039,2024-09-25,2024-2025
2024-09-26,34.0,Slavia Praha,CZE,1,1764.40771484,2024-09-26,2024-2025
2024-09-27,33.0,Slavia Praha,CZE,1,1766.48083496,2024-09-29,2024-2025
2024-09-30,29.0,Slavia Praha,CZE,1,1770.31054688,2024-10-01,2024-2025
2024-10-02,29.0,Slavia Praha,CZE,1,1772.20703125,2024-10-02,2024-2025
2024-10-03,30.0,Slavia Praha,CZE,1,1772.20703125,2024-10-03,2024-2025
2024-10-04,33.0,Slavia Praha,CZE,1,1755.58093262,2024-10-06,2024-2025
2024-10-07,31.0,Slavia Praha,CZE,1,1761.15380859,2024-10-19,2024-2025
2024-10-20,32.0,Slavia Praha,CZE,1,1761.15380859,2024-10-20,2024-2025
2024-10-21,33.0,Slavia Praha,CZE,1,1763.77429199,2024-10-23,2024-2025
2024-10-24,35.0,Slavia Praha,CZE,1,1762.8885498,2024-10-24,2024-2025
2024-10-25,36.0,Slavia Praha,CZE,1,1750.77355957,2024-10-27,2024-2025
2024-10-28,36.0,Slavia Praha,CZE,1,1751.70776367,2024-10-29,2024-2025
2024-10-30,37.0,Slavia Praha,CZE,1,1751.70776367,2024-11-03,2024-2025
2024-11-04,38.0,Slavia Praha,CZE,1,1745.26000977,2024-11-04,2024-2025
2024-11-05,39.0,Slavia Praha,CZE,1,1745.26000977,2024-11-05,2024-2025
2024-11-06,38.0,Slavia Praha,CZE,1,1745.26000977,2024-11-06,2024-2025
2024-11-07,37.0,Slavia Praha,CZE,1,1741.43823242,2024-11-07,2024-2025
2024-11-08,41.0,Slavia Praha,CZE,1,1735.1583252,2024-11-09,2024-2025
2024-11-10,39.0,Slavia Praha,CZE,1,1735.1583252,2024-11-10,2024-2025
2024-11-11,40.0,Slavia Praha,CZE,1,1736.72875977,2024-11-23,2024-2025
2024-11-24,39.0,Slavia Praha,CZE,1,1736.72875977,2024-11-24,2024-2025
2024-11-25,39.0,Slavia Praha,CZE,1,1738.41430664,2024-11-25,2024-2025
2024-11-26,40.0,Slavia Praha,CZE,1,1738.41430664,2024-11-26,2024-2025
2024-11-27,42.0,Slavia Praha,CZE,1,1732.44165039,2024-11-28,2024-2025
2024-11-29,45.0,Slavia Praha,CZE,1,1724.75634766,2024-12-01,2024-2025
2024-12-02,46.0,Slavia Praha,CZE,1,1726.06970215,2024-12-03,2024-2025
2024-12-04,45.0,Slavia Praha,CZE,1,1726.06970215,2024-12-05,2024-2025
2024-12-06,45.0,Slavia Praha,CZE,1,1729.92333984,2024-12-08,2024-2025
2024-12-09,45.0,Slavia Praha,CZE,1,1732.12194824,2024-12-10,2024-2025
2024-12-11,46.0,Slavia Praha,CZE,1,1732.12194824,2024-12-11,2024-2025
2024-12-12,46.0,Slavia Praha,CZE,1,1730.14672852,2024-12-12,2024-2025
2024-12-13,51.0,Slavia Praha,CZE,1,1713.73608398,2024-12-14,2024-2025
2024-12-15,50.0,Slavia Praha,CZE,1,1713.73608398,2024-12-15,2024-2025
2024-12-16,55.0,Slavia Praha,CZE,1,1698.7578125,2024-12-19,2024-2025
2024-12-20,55.0,Slavia Praha,CZE,1,1696.82727051,2024-12-21,2024-2025
2024-12-22,56.0,Slavia Praha,CZE,1,1696.82727051,2024-12-31,2024-2025
2025-01-01,56.0,Slavia Praha,CZE,1,1696.82727051,2025-01-02,2024-2025
2025-01-03,55.0,Slavia Praha,CZE,1,1696.82727051,2025-01-05,2024-2025
2025-01-06,54.0,Slavia Praha,CZE,1,1696.82727051,2025-01-11,2024-2025
2025-01-12,55.0,Slavia Praha,CZE,1,1696.82727051,2025-01-22,2024-2025
2025-01-23,53.0,Slavia Praha,CZE,1,1695.92736816,2025-01-23,2024-2025
2025-01-24,59.0,Slavia Praha,CZE,1,1681.38903809,2025-01-26,2024-2025
2025-01-27,60.0,Slavia Praha,CZE,1,1681.38903809,2025-01-29,2024-2025
2025-01-30,60.0,Slavia Praha,CZE,1,1680.63171387,2025-01-30,2024-2025
2025-01-31,62.0,Slavia Praha,CZE,1,1670.34753418,2025-02-01,2024-2025
2025-02-02,63.0,Slavia Praha,CZE,1,1670.34753418,2025-02-02,2024-2025
2025-02-03,63.0,Slavia Praha,CZE,1,1672.39807129,2025-02-05,2024-2025
2025-02-06,64.0,Slavia Praha,CZE,1,1672.39807129,2025-02-08,2024-2025
2025-02-09,63.0,Slavia Praha,CZE,1,1675.43530273,2025-02-11,2024-2025
2025-02-12,64.0,Slavia Praha,CZE,1,1675.43530273,2025-02-13,2024-2025
2025-02-14,64.0,Slavia Praha,CZE,1,1673.73352051,2025-02-15,2024-2025
2025-02-16,65.0,Slavia Praha,CZE,1,1673.73352051,2025-02-16,2024-2025
2025-02-17,64.0,Slavia Praha,CZE,1,1676.46325684,2025-02-18,2024-2025
2025-02-19,63.0,Slavia Praha,CZE,1,1676.46325684,2025-02-19,2024-2025
2025-02-20,64.0,Slavia Praha,CZE,1,1676.46325684,2025-02-20,2024-2025
2025-02-21,62.0,Slavia Praha,CZE,1,1681.33996582,2025-02-21,2024-2025
2025-02-22,61.0,Slavia Praha,CZE,1,1681.33996582,2025-02-23,2024-2025
2025-02-24,55.0,Slavia Praha,CZE,1,1693.04956055,2025-02-24,2024-2025
2025-02-25,56.0,Slavia Praha,CZE,1,1693.04956055,2025-03-01,2024-2025
2025-03-02,55.0,Slavia Praha,CZE,1,1693.04956055,2025-03-02,2024-2025
2025-03-03,55.0,Slavia Praha,CZE,1,1694.84228516,2025-03-04,2024-2025
2025-03-05,56.0,Slavia Praha,CZE,1,1694.84228516,2025-03-06,2024-2025
2025-03-07,55.0,Slavia Praha,CZE,1,1693.54956055,2025-03-08,2024-2025
2025-03-09,60.0,Slavia Praha,CZE,1,1682.22155762,2025-03-09,2024-2025
2025-03-10,61.0,Slavia Praha,CZE,1,1682.22155762,2025-03-11,2024-2025
2025-03-12,60.0,Slavia Praha,CZE,1,1682.22155762,2025-03-12,2024-2025
2025-03-13,62.0,Slavia Praha,CZE,1,1682.22155762,2025-03-13,2024-2025
2025-03-14,61.0,Slavia Praha,CZE,1,1682.03308105,2025-03-15,2024-2025
2025-03-16,63.0,Slavia Praha,CZE,1,1682.03308105,2025-03-16,2024-2025
2025-03-17,62.0,Slavia Praha,CZE,1,1685.3560791,2025-03-28,2024-2025
2025-03-29,63.0,Slavia Praha,CZE,1,1685.3560791,2025-03-29,2024-2025
2025-03-30,65.0,Slavia Praha,CZE,1,1677.44897461,2025-04-04,2024-2025
2025-04-05,64.0,Slavia Praha,CZE,1,1677.44897461,2025-04-05,2024-2025
2025-04-06,61.0,Slavia Praha,CZE,1,1679.36071777,2025-04-08,2024-2025
2025-04-09,62.0,Slavia Praha,CZE,1,1679.36071777,2025-04-11,2024-2025
2025-04-12,63.0,Slavia Praha,CZE,1,1679.36071777,2025-04-12,2024-2025
2025-04-13,61.0,Slavia Praha,CZE,1,1684.20446777,2025-04-16,2024-2025
2025-04-17,60.0,Slavia Praha,CZE,1,1684.20446777,2025-04-17,2024-2025
2025-04-18,61.0,Slavia Praha,CZE,1,1684.20446777,2025-04-19,2024-2025
2025-04-20,60.0,Slavia Praha,CZE,1,1685.67675781,2025-04-20,2024-2025
2025-04-21,59.0,Slavia Praha,CZE,1,1685.67675781,2025-04-23,2024-2025
2025-04-24,60.0,Slavia Praha,CZE,1,1685.67675781,2025-04-24,2024-2025
2025-04-25,61.0,Slavia Praha,CZE,1,1685.67675781,2025-04-25,2024-2025
2025-04-26,62.0,Slavia Praha,CZE,1,1685.67675781,2025-04-26,2024-2025
2025-04-27,58.0,Slavia Praha,CZE,1,1692.27307129,2025-04-27,2024-2025
2025-04-28,57.0,Slavia Praha,CZE,1,1692.27307129,2025-05-03,2024-2025
2025-05-04,56.0,Slavia Praha,CZE,1,1697.32043457,2025-05-04,2024-2025
2025-05-05,55.0,Slavia Praha,CZE,1,1697.32043457,2025-05-10,2024-2025
2025-05-11,54.0,Slavia Praha,CZE,1,1701.45751953,2025-05-18,2024-2025
2025-05-19,60.0,Slavia Praha,CZE,1,1689.20227051,2025-05-24,2024-2025
2025-05-25,57.0,Slavia Praha,CZE,1,1694.72119141,2025-07-20,2024-2025
2024-08-01,66.0,Olympiakos,GRE,1,1673.23242188,2024-08-01,2024-2025
2024-08-02,66.0,Olympiakos,GRE,1,1674.47680664,2024-08-06,2024-2025
2024-08-07,66.0,Olympiakos,GRE,1,1671.34008789,2024-08-08,2024-2025
2024-08-09,66.0,Olympiakos,GRE,1,1668.54736328,2024-08-13,2024-2025
2024-08-14,71.0,Olympiakos,GRE,1,1661.72387695,2024-08-15,2024-2025
2024-08-16,72.0,Olympiakos,GRE,1,1659.22424316,2024-08-16,2024-2025
2024-08-17,73.0,Olympiakos,GRE,1,1659.22424316,2024-08-17,2024-2025
2024-08-18,71.0,Olympiakos,GRE,1,1661.76208496,2024-08-18,2024-2025
2024-08-19,70.0,Olympiakos,GRE,1,1661.76208496,2024-08-22,2024-2025
2024-08-23,70.0,Olympiakos,GRE,1,1661.62158203,2024-08-23,2024-2025
2024-08-24,71.0,Olympiakos,GRE,1,1661.62158203,2024-08-24,2024-2025
2024-08-25,70.0,Olympiakos,GRE,1,1661.62158203,2024-08-25,2024-2025
2024-08-26,69.0,Olympiakos,GRE,1,1661.62158203,2024-08-26,2024-2025
2024-08-27,69.0,Olympiakos,GRE,1,1662.42443848,2024-08-29,2024-2025
2024-08-30,65.0,Olympiakos,GRE,1,1670.78710938,2024-08-31,2024-2025
2024-09-01,64.0,Olympiakos,GRE,1,1673.69348145,2024-09-01,2024-2025
2024-09-02,65.0,Olympiakos,GRE,1,1673.69348145,2024-09-13,2024-2025
2024-09-14,64.0,Olympiakos,GRE,1,1673.69348145,2024-09-14,2024-2025
2024-09-15,63.0,Olympiakos,GRE,1,1673.69348145,2024-09-15,2024-2025
2024-09-16,70.0,Olympiakos,GRE,1,1665.14208984,2024-09-17,2024-2025
2024-09-18,72.0,Olympiakos,GRE,1,1665.14208984,2024-09-18,2024-2025
2024-09-19,69.0,Olympiakos,GRE,1,1665.14208984,2024-09-20,2024-2025
2024-09-21,68.0,Olympiakos,GRE,1,1665.14208984,2024-09-21,2024-2025
2024-09-22,80.0,Olympiakos,GRE,1,1652.80554199,2024-09-23,2024-2025
2024-09-24,81.0,Olympiakos,GRE,1,1652.80554199,2024-09-25,2024-2025
2024-09-26,83.0,Olympiakos,GRE,1,1650.46960449,2024-09-26,2024-2025
2024-09-27,86.0,Olympiakos,GRE,1,1640.69091797,2024-09-29,2024-2025
2024-09-30,84.0,Olympiakos,GRE,1,1642.45263672,2024-10-02,2024-2025
2024-10-03,83.0,Olympiakos,GRE,1,1642.45263672,2024-10-03,2024-2025
2024-10-04,81.0,Olympiakos,GRE,1,1649.78405762,2024-10-04,2024-2025
2024-10-05,80.0,Olympiakos,GRE,1,1649.78405762,2024-10-05,2024-2025
2024-10-06,79.0,Olympiakos,GRE,1,1649.78405762,2024-10-06,2024-2025
2024-10-07,78.0,Olympiakos,GRE,1,1648.28991699,2024-10-20,2024-2025
2024-10-21,86.0,Olympiakos,GRE,1,1639.65527344,2024-10-21,2024-2025
2024-10-22,85.0,Olympiakos,GRE,1,1639.65527344,2024-10-22,2024-2025
2024-10-23,86.0,Olympiakos,GRE,1,1639.65527344,2024-10-24,2024-2025
2024-10-25,80.0,Olympiakos,GRE,1,1647.25109863,2024-10-26,2024-2025
2024-10-27,79.0,Olympiakos,GRE,1,1647.25109863,2024-10-27,2024-2025
2024-10-28,86.0,Olympiakos,GRE,1,1631.99291992,2024-11-02,2024-2025
2024-11-03,85.0,Olympiakos,GRE,1,1633.10119629,2024-11-03,2024-2025
2024-11-04,84.0,Olympiakos,GRE,1,1633.10119629,2024-11-04,2024-2025
2024-11-05,85.0,Olympiakos,GRE,1,1633.10119629,2024-11-06,2024-2025
2024-11-07,86.0,Olympiakos,GRE,1,1633.10119629,2024-11-07,2024-2025
2024-11-08,90.0,Olympiakos,GRE,1,1623.03967285,2024-11-08,2024-2025
2024-11-09,89.0,Olympiakos,GRE,1,1623.03967285,2024-11-10,2024-2025
2024-11-11,86.0,Olympiakos,GRE,1,1630.7409668,2024-11-24,2024-2025
2024-11-25,83.0,Olympiakos,GRE,1,1639.74206543,2024-11-26,2024-2025
2024-11-27,82.0,Olympiakos,GRE,1,1639.74206543,2024-11-27,2024-2025
2024-11-28,83.0,Olympiakos,GRE,1,1639.74206543,2024-11-28,2024-2025
2024-11-29,85.0,Olympiakos,GRE,1,1638.62963867,2024-11-30,2024-2025
2024-12-01,83.0,Olympiakos,GRE,1,1638.62963867,2024-12-01,2024-2025
2024-12-02,82.0,Olympiakos,GRE,1,1641.64587402,2024-12-03,2024-2025
2024-12-04,83.0,Olympiakos,GRE,1,1641.64587402,2024-12-06,2024-2025
2024-12-07,82.0,Olympiakos,GRE,1,1641.64587402,2024-12-07,2024-2025
2024-12-08,77.0,Olympiakos,GRE,1,1643.5871582,2024-12-10,2024-2025
2024-12-11,78.0,Olympiakos,GRE,1,1643.5871582,2024-12-11,2024-2025
2024-12-12,81.0,Olympiakos,GRE,1,1643.5871582,2024-12-12,2024-2025
2024-12-13,81.0,Olympiakos,GRE,1,1644.9876709,2024-12-14,2024-2025
2024-12-15,80.0,Olympiakos,GRE,1,1644.9876709,2024-12-15,2024-2025
2024-12-16,79.0,Olympiakos,GRE,1,1644.9876709,2024-12-16,2024-2025
2024-12-17,83.0,Olympiakos,GRE,1,1636.99768066,2024-12-19,2024-2025
2024-12-20,83.0,Olympiakos,GRE,1,1637.97351074,2024-12-21,2024-2025
2024-12-22,83.0,Olympiakos,GRE,1,1638.91162109,2024-12-22,2024-2025
2024-12-23,81.0,Olympiakos,GRE,1,1638.91162109,2024-12-26,2024-2025
2024-12-27,80.0,Olympiakos,GRE,1,1638.91162109,2024-12-31,2024-2025
2025-01-01,80.0,Olympiakos,GRE,1,1638.91162109,2025-01-04,2024-2025
2025-01-05,79.0,Olympiakos,GRE,1,1638.91162109,2025-01-06,2024-2025
2025-01-07,79.0,Olympiakos,GRE,1,1642.29504395,2025-01-11,2024-2025
2025-01-12,78.0,Olympiakos,GRE,1,1644.87402344,2025-01-12,2024-2025
2025-01-13,77.0,Olympiakos,GRE,1,1644.87402344,2025-01-18,2024-2025
2025-01-19,75.0,Olympiakos,GRE,1,1644.87402344,2025-01-19,2024-2025
2025-01-20,74.0,Olympiakos,GRE,1,1646.97485352,2025-01-21,2024-2025
2025-01-22,77.0,Olympiakos,GRE,1,1646.97485352,2025-01-22,2024-2025
2025-01-23,75.0,Olympiakos,GRE,1,1646.97485352,2025-01-23,2024-2025
2025-01-24,63.0,Olympiakos,GRE,1,1670.67089844,2025-01-24,2024-2025
2025-01-25,62.0,Olympiakos,GRE,1,1670.67089844,2025-01-26,2024-2025
2025-01-27,63.0,Olympiakos,GRE,1,1666.71826172,2025-01-29,2024-2025
2025-01-30,62.0,Olympiakos,GRE,1,1666.71826172,2025-01-30,2024-2025
2025-01-31,61.0,Olympiakos,GRE,1,1671.3939209,2025-02-01,2024-2025
2025-02-02,62.0,Olympiakos,GRE,1,1671.3939209,2025-02-02,2024-2025
2025-02-03,62.0,Olympiakos,GRE,1,1672.96777344,2025-02-05,2024-2025
2025-02-06,63.0,Olympiakos,GRE,1,1672.96777344,2025-02-08,2024-2025
2025-02-09,64.0,Olympiakos,GRE,1,1672.96777344,2025-02-09,2024-2025
2025-02-10,65.0,Olympiakos,GRE,1,1665.0723877,2025-02-11,2024-2025
2025-02-12,66.0,Olympiakos,GRE,1,1665.0723877,2025-02-13,2024-2025
