team,rank,country,level,elo,from,to,league
Frankfurt,38.0,GER,1,1737.02905273,2022-05-29,2022-08-05,GER-Bundesliga
Lyon,39.0,FRA,1,1736.39831543,2022-05-29,2022-08-02,FRA-Ligue 1
Union Berlin,40.0,GER,1,1730.73999023,2022-05-26,2022-08-05,GER-Bundesliga
Atalanta,41.0,ITA,1,1729.88452148,2022-05-26,2022-08-05,ITA-Serie A
Feyenoord,42.0,NED,1,1727.33520508,2022-05-29,2022-07-21,
Wolves,43.0,ENG,1,1725.1184082,2022-05-29,2022-08-06,ENG-Premier League
Lazio,44.0,ITA,1,1721.38867188,2022-05-26,2022-08-07,ITA-Serie A
Rennes,45.0,FRA,1,1719.70068359,2022-05-26,2022-08-02,FRA-Ligue 1
Freiburg,46.0,GER,1,1718.67224121,2022-05-23,2022-08-06,GER-Bundesliga
Marseille,47.0,FRA,1,1718.43225098,2022-05-23,2022-08-02,FRA-Ligue 1
Rangers,48.0,SCO,1,1717.14074707,2022-05-29,2022-07-21,
Brentford,49.0,ENG,1,1714.30810547,2022-05-29,2022-07-21,ENG-Premier League
Gladbach,50.0,GER,1,1711.59204102,2022-05-19,2022-07-28,GER-Bundesliga
Celta,51.0,ESP,1,1708.34448242,2022-05-29,2022-07-28,ESP-La Liga
Leeds,52.0,ENG,1,1703.2824707,2022-05-29,2022-08-02,ENG-Premier League
Everton,53.0,ENG,1,1698.97583008,2022-05-29,2022-08-02,ENG-Premier League
Valencia,54.0,ESP,1,1698.46618652,2022-05-29,2022-08-02,ESP-La Liga
Lille,55.0,FRA,1,1696.96472168,2022-05-29,2022-08-02,FRA-Ligue 1
Burnley,56.0,ENG,1,1683.77648926,2022-05-29,2022-07-01,ENG-Premier League
Wolfsburg,57.0,GER,1,1681.73596191,2022-05-23,2022-07-30,GER-Bundesliga
Zenit,58.0,RUS,1,1680.96276855,2022-05-23,2022-07-15,
Mainz,59.0,GER,1,1680.20178223,2022-05-23,2022-07-15,GER-Bundesliga
Koeln,60.0,GER,1,1679.38232422,2022-05-23,2022-07-15,GER-Bundesliga
Getafe,61.0,ESP,1,1672.59594727,2022-05-29,2022-08-12,ESP-La Liga
Southampton,62.0,ENG,1,1671.66308594,2022-05-29,2022-08-06,ENG-Premier League
Osasuna,63.0,ESP,1,1669.47094727,2022-05-29,2022-07-24,ESP-La Liga
Strasbourg,64.0,FRA,1,1668.04199219,2022-05-29,2022-07-21,FRA-Ligue 1
Lens,65.0,FRA,1,1665.94677734,2022-05-22,2022-07-10,FRA-Ligue 1
Nice,66.0,FRA,1,1664.39196777,2022-05-22,2022-07-10,FRA-Ligue 1
Crvena Zvezda,67.0,SRB,1,1664.37365723,2022-05-23,2022-07-10,
Shakhtar,68.0,UKR,1,1664.22192383,2022-05-23,2022-07-20,
Hoffenheim,69.0,GER,1,1664.11572266,2022-05-23,2022-07-20,GER-Bundesliga
Levante,70.0,ESP,1,1658.98547363,2022-05-29,2022-07-01,ESP-La Liga
Sassuolo,71.0,ITA,1,1654.8034668,2022-05-26,2022-08-09,ITA-Serie A
Fiorentina,72.0,ITA,1,1654.35888672,2022-05-26,2022-08-09,ITA-Serie A
Cadiz,73.0,ESP,1,1650.63293457,2022-05-29,2022-08-09,ESP-La Liga
