team,rank,country,level,elo,from,to,league
Wolves,46.0,ENG,1,1735.76245117,2025-05-29,2025-08-16,ENG-Premier League
St Gillis,47.0,BEL,1,1730.55700684,2025-05-26,2025-07-25,
Burnley,48.0,ENG,2,1729.59765625,2025-05-29,2025-07-05,
Leeds,49.0,ENG,2,1722.36022949,2025-05-29,2025-07-05,
Nice,50.0,FRA,1,1720.62426758,2025-06-01,2025-08-16,FRA-Ligue 1
Stuttgart,51.0,GER,1,1719.31481934,2025-06-01,2025-08-23,GER-Bundesliga
RB Leipzig,52.0,GER,1,1716.37451172,2025-06-01,2025-08-22,GER-Bundesliga
Strasbourg,53.0,FRA,1,1707.00732422,2025-06-01,2025-08-17,FRA-Ligue 1
Mainz,54.0,GER,1,1706.18286133,2025-06-01,2025-08-24,GER-Bundesliga
Galatasaray,55.0,TUR,1,1701.14599609,2025-06-01,2025-08-08,
Osasuna,56.0,ESP,1,1697.22424316,2025-05-29,2025-08-19,ESP-La Liga
Slavia Praha,57.0,CZE,1,1694.71618652,2025-05-25,2025-07-20,
Lens,58.0,FRA,1,1693.22021484,2025-06-01,2025-07-20,FRA-Ligue 1
Celta,59.0,ESP,1,1689.27099609,2025-06-01,2025-07-20,ESP-La Liga
Freiburg,60.0,GER,1,1684.34057617,2025-05-27,2025-07-22,GER-Bundesliga
Valencia,61.0,ESP,1,1679.41601562,2025-06-01,2025-08-16,ESP-La Liga
Brest,62.0,FRA,1,1679.10461426,2025-06-01,2025-08-25,FRA-Ligue 1
Porto,63.0,POR,1,1678.19543457,2025-05-27,2025-08-25,
Werder,64.0,GER,1,1677.45446777,2025-05-27,2025-08-23,GER-Bundesliga
Torino,65.0,ITA,1,1675.24291992,2025-06-01,2025-08-25,ITA-Serie A
Fenerbahce,66.0,TUR,1,1673.91906738,2025-06-01,2025-08-09,
Olympiakos,67.0,GRE,1,1670.36560059,2025-05-25,2025-07-22,
Sociedad,68.0,ESP,1,1667.32043457,2025-06-01,2025-08-16,ESP-La Liga
Genoa,69.0,ITA,1,1664.06445312,2025-06-01,2025-07-22,ITA-Serie A
Ajax,70.0,NED,1,1663.94885254,2025-05-25,2025-07-22,
Rennes,71.0,FRA,1,1663.48498535,2025-06-01,2025-07-22,FRA-Ligue 1
Celtic,72.0,SCO,1,1662.38671875,2025-06-01,2025-07-22,
Rayo Vallecano,73.0,ESP,1,1658.47607422,2025-06-01,2025-08-15,ESP-La Liga
Zenit,74.0,RUS,1,1654.94470215,2025-05-25,2025-07-20,
Toulouse,75.0,FRA,1,1653.90759277,2025-06-01,2025-08-16,FRA-Ligue 1
Braga,76.0,POR,1,1650.64880371,2025-05-19,2025-07-24,
