team,rank,country,level,elo,from,to,league
Atalanta,29.0,ITA,1,1734.27331543,2018-05-21,2018-07-26,ITA-Serie A
Sociedad,30.0,ESP,1,1731.92907715,2018-05-27,2018-07-26,ESP-La Liga
Benfica,31.0,POR,1,1729.20678711,2018-05-20,2018-07-26,
Espanyol,32.0,ESP,1,1729.14025879,2018-05-27,2018-07-26,ESP-La Liga
Besiktas,33.0,TUR,1,1727.90893555,2018-05-27,2018-07-26,
Betis,34.0,ESP,1,1725.50952148,2018-05-27,2018-07-26,ESP-La Liga
Eibar,35.0,ESP,1,1725.2401123,2018-05-27,2018-07-26,ESP-La Liga
Zenit,36.0,RUS,1,1725.1315918,2018-05-27,2018-07-26,
Milan,37.0,ITA,1,1722.52709961,2018-05-21,2018-07-26,ITA-Serie A
Getafe,38.0,ESP,1,1721.39746094,2018-05-27,2018-07-26,ESP-La Liga
Celta,39.0,ESP,1,1718.39123535,2018-05-27,2018-07-26,ESP-La Liga
Hoffenheim,40.0,GER,1,1714.75732422,2018-05-21,2018-07-26,GER-Bundesliga
Leverkusen,41.0,GER,1,1708.45617676,2018-05-17,2018-07-25,GER-Bundesliga
Sporting,42.0,POR,1,1707.0579834,2018-05-21,2018-07-25,
Dynamo Kyiv,43.0,UKR,1,1706.78051758,2018-05-21,2018-07-25,
Alaves,44.0,ESP,1,1706.46960449,2018-05-27,2018-07-26,ESP-La Liga
Bilbao,45.0,ESP,1,1700.13037109,2018-05-27,2018-07-26,ESP-La Liga
Everton,46.0,ENG,1,1698.21655273,2018-05-27,2018-07-26,ENG-Premier League
Leicester,47.0,ENG,1,1696.15197754,2018-05-27,2018-07-26,ENG-Premier League
Levante,48.0,ESP,1,1694.96459961,2018-05-27,2018-07-26,ESP-La Liga
Crystal Palace,49.0,ENG,1,1691.60559082,2018-05-27,2018-07-25,ENG-Premier League
Spartak Moskva,50.0,RUS,1,1691.2166748,2018-05-21,2018-07-25,
RB Leipzig,51.0,GER,1,1689.07324219,2018-05-27,2018-07-25,GER-Bundesliga
Burnley,52.0,ENG,1,1687.52050781,2018-05-27,2018-07-25,ENG-Premier League
Fiorentina,53.0,ITA,1,1684.82592773,2018-05-21,2018-07-25,ITA-Serie A
Ajax,54.0,NED,1,1683.54760742,2018-05-14,2018-07-25,
Torino,55.0,ITA,1,1679.41601562,2018-05-21,2018-07-26,ITA-Serie A
FC Krasnodar,56.0,RUS,1,1673.42333984,2018-05-27,2018-07-26,
Bournemouth,57.0,ENG,1,1672.43444824,2018-05-27,2018-07-26,ENG-Premier League
West Ham,58.0,ENG,1,1672.38671875,2018-05-27,2018-07-26,ENG-Premier League
Newcastle,59.0,ENG,1,1669.52526855,2018-05-27,2018-07-17,ENG-Premier League
Fenerbahce,60.0,TUR,1,1669.11975098,2018-05-20,2018-07-17,
Lok Moskva,61.0,RUS,1,1666.70239258,2018-05-14,2018-07-11,
Basel,62.0,SUI,1,1665.62402344,2018-05-20,2018-07-11,
Girona,63.0,ESP,1,1664.00695801,2018-05-27,2018-07-21,ESP-La Liga
Gladbach,64.0,GER,1,1663.01623535,2018-05-27,2018-07-21,GER-Bundesliga
Stuttgart,65.0,GER,1,1662.46362305,2018-05-27,2018-07-21,GER-Bundesliga
PSV,66.0,NED,1,1660.67199707,2018-05-20,2018-07-21,
Werder,67.0,GER,1,1657.46777344,2018-05-20,2018-07-21,GER-Bundesliga
Bueyueksehir,68.0,TUR,1,1652.6739502,2018-05-27,2018-07-24,
Southampton,69.0,ENG,1,1652.15490723,2018-05-27,2018-07-24,ENG-Premier League
