round,week,day,date,time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,match_report,notes,game_id
Group stage,4,Wed,2018-11-07,20:55,CSKA Moscow,1.1,1–2,2.4,Roma,64454,VEB Arena,Baris Şimşek,/en/matches/333f1060/CSKA-Moscow-Roma-November-7-2018-Champions-League,,333f1060
Group stage,4,Wed,2018-11-07,21:00,Juventus,1.9,1–2,0.8,Manchester Utd,41470,Allianz Stadium,Ovidiu Hațegan,/en/matches/f12e329a/Juventus-Manchester-United-November-7-2018-Champions-League,,f12e329a
Group stage,4,Wed,2018-11-07,21:00,Lyon,2.5,2–2,1.9,Hoffenheim,53850,Groupama Stadium,Danny Makkelie,/en/matches/7696c66f/Lyon-Hoffenheim-November-7-2018-Champions-League,,7696c66f
Group stage,4,Wed,2018-11-07,20:00,Manchester City,3.4,6–0,0.4,Shakhtar,52286,Etihad Stadium,Sándor Andó-Szabó,/en/matches/c7df13a4/Manchester-City-Shakhtar-Donetsk-November-7-2018-Champions-League,,c7df13a4
Group stage,4,Wed,2018-11-07,18:55,Valencia,1.8,3–1,1.0,Young Boys,36480,Estadio de Mestalla,István Kovács,/en/matches/a6362e20/Valencia-Young-Boys-November-7-2018-Champions-League,,a6362e20
Group stage,4,Wed,2018-11-07,21:00,Viktoria Plzeň,0.5,0–5,1.6,Real Madrid,11483,Doosan Arena,Deniz Aytekin,/en/matches/4347ad92/Viktoria-Plzen-Real-Madrid-November-7-2018-Champions-League,,4347ad92
Group stage,5,Tue,2018-11-27,19:55,AEK Athens,0.4,0–2,2.2,Ajax,25756,Olympiako Stadio Spyros Louis,Michael Oliver,/en/matches/ecf4e736/AEK-Athens-Ajax-November-27-2018-Champions-League,,ecf4e736
Group stage,5,Tue,2018-11-27,21:00,Bayern Munich,1.9,5–1,0.5,Benfica,70000,Allianz Arena,Daniele Orsato,/en/matches/ff3de767/Bayern-Munich-Benfica-November-27-2018-Champions-League,,ff3de767
Group stage,5,Tue,2018-11-27,20:55,CSKA Moscow,2.2,1–2,2.0,Viktoria Plzeň,52892,VEB Arena,Jochem Kamphuis,/en/matches/cdd497ed/CSKA-Moscow-Viktoria-Plzen-November-27-2018-Champions-League,,cdd497ed
Group stage,5,Tue,2018-11-27,21:00,Hoffenheim,1.3,2–3,2.1,Shakhtar,22920,PreZero Arena,Filip Glova,/en/matches/b7d7ce7f/Hoffenheim-Shakhtar-Donetsk-November-27-2018-Champions-League,,b7d7ce7f
Group stage,5,Tue,2018-11-27,21:00,Juventus,1.8,1–0,0.3,Valencia,39070,Allianz Stadium,William Collum,/en/matches/91a96436/Juventus-Valencia-November-27-2018-Champions-League,,91a96436
Group stage,5,Tue,2018-11-27,21:00,Lyon,2.3,2–2,1.0,Manchester City,56039,Groupama Stadium,Luca Banti,/en/matches/92ad7c2b/Lyon-Manchester-City-November-27-2018-Champions-League,,92ad7c2b
Group stage,5,Tue,2018-11-27,20:00,Manchester Utd,1.3,1–0,0.6,Young Boys,72876,Old Trafford,Felix Brych,/en/matches/e24493ce/Manchester-United-Young-Boys-November-27-2018-Champions-League,,e24493ce
