players_used,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,url
19,6.0,1958,2670,73.3,31569,13544,961,1142,84.2,659,841,78.4,195,405,48.1,2,4.6,6.2,-2.6,59,169,33,3,207,/en/squads/5a8dc328/2018-2019/Lokomotiv-Moscow-Stats
21,8.0,3153,3842,82.1,53662,18974,1470,1630,90.2,1283,1457,88.1,288,518,55.6,9,10.2,7.7,-1.2,90,197,55,5,290,/en/squads/d53c0b06/2018-2019/Lyon-Stats
21,10.0,5976,6793,88.0,97477,29647,2844,3074,92.5,2361,2588,91.2,484,653,74.1,20,16.8,16.8,3.2,141,416,128,15,582,/en/squads/b8fd03ef/2018-2019/Manchester-City-Stats
26,10.0,4134,5034,82.1,68833,24174,2012,2216,90.8,1490,1719,86.7,419,693,60.5,5,6.2,6.3,-1.2,84,306,78,20,397,/en/squads/19538871/2018-2019/Manchester-United-Stats
29,6.0,2437,3024,80.6,43127,14600,1084,1249,86.8,968,1120,86.4,284,462,61.5,1,3.2,3.6,-2.2,44,158,49,10,241,/en/squads/fd6114db/2018-2019/Monaco-Stats
18,6.0,3465,4138,83.7,58278,18318,1735,1901,91.3,1259,1433,87.9,354,568,62.3,5,7.7,6.9,-2.7,69,247,60,11,312,/en/squads/d48ad4ff/2018-2019/Napoli-Stats
18,6.0,1452,1993,72.9,27682,12527,635,762,83.3,568,702,80.9,203,412,49.3,5,5.5,5.6,-0.5,54,114,29,11,143,/en/squads/e334d850/2018-2019/PSV-Eindhoven-Stats
20,8.0,4469,5144,86.9,69564,21926,2262,2449,92.4,1585,1745,90.8,338,520,65.0,14,15.2,11.6,-1.2,90,272,86,15,340,/en/squads/e2d8892c/2018-2019/Paris-Saint-Germain-Stats
25,10.3,3769,4932,76.4,70712,25766,1571,1809,86.8,1587,1928,82.3,501,904,55.4,15,11.1,10.5,3.9,91,266,64,17,379,/en/squads/5e876ee6/2018-2019/Porto-Stats
24,8.0,4682,5445,86.0,86214,28482,2236,2401,93.1,1777,2003,88.7,621,855,72.6,12,15.3,12.0,-3.3,127,450,87,19,536,/en/squads/53a2f082/2018-2019/Real-Madrid-Stats
20,6.0,1409,2028,69.5,25148,10790,680,835,81.4,512,677,75.6,177,406,43.6,3,2.4,1.9,0.6,30,80,23,8,118,/en/squads/099c6eb5/2018-2019/Red-Star-Stats
24,8.3,3282,4125,79.6,60190,24233,1447,1652,87.6,1435,1675,85.7,362,627,57.7,12,11.6,8.9,0.4,96,291,81,19,399,/en/squads/cf74a709/2018-2019/Roma-Stats
27,8.0,2440,3273,74.5,46792,16903,965,1149,84.0,1149,1376,83.5,297,581,51.1,4,5.7,4.6,-1.7,55,168,40,7,241,/en/squads/c539e393/2018-2019/Schalke-04-Stats
20,6.0,2630,3167,83.0,44787,14900,1162,1298,89.5,1082,1225,88.3,257,413,62.2,8,6.2,4.3,1.8,57,124,49,6,214,/en/squads/e89d5a28/2018-2019/Shakhtar-Donetsk-Stats
24,13.0,5730,7075,81.0,102185,36574,2615,2933,89.2,2318,2694,86.0,647,1052,61.5,17,16.9,14.8,0.1,151,406,111,21,564,/en/squads/361ca564/2018-2019/Tottenham-Hotspur-Stats
22,6.0,2480,3051,81.3,42612,16341,1206,1355,89.0,987,1158,85.2,235,390,60.3,2,4.6,5.5,-2.6,50,173,47,14,271,/en/squads/dcc91a7b/2018-2019/Valencia-Stats
21,6.0,1780,2384,74.7,32555,13869,773,906,85.3,644,797,80.8,257,467,55.0,6,5.8,4.5,0.2,48,122,43,9,205,/en/squads/02cd81bf/2018-2019/Viktoria-Plzen-Stats
20,6.0,1939,2538,76.4,35231,14480,854,984,86.8,782,928,84.3,237,473,50.1,1,4.2,4.0,-3.2,53,158,39,13,180,/en/squads/4b682260/2018-2019/Young-Boys-Stats
