players_used,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,url
16,1,2,14,4,28.6,14,4,0.14,0.5,13.8,0,0,0,1.2,1.2,0.09,0.8,0.8,/en/squads/d609edc0/Internazionale-Stats
16,1,4,19,7,36.8,19,7,0.21,0.57,17.2,0,0,0,1.9,1.9,0.1,2.1,2.1,/en/squads/e0652b02/Juventus-Stats
16,1,1,15,4,26.7,15,4,0.07,0.25,20.9,3,0,0,1.2,1.2,0.08,-0.2,-0.2,/en/squads/c7a9f859/Bayer-Leverkusen-Stats
16,1,3,20,6,30.0,20,6,0.15,0.5,13.5,1,0,0,2.7,2.7,0.14,0.3,0.3,/en/squads/822bd0ba/Liverpool-Stats
16,1,2,23,8,34.8,23,8,0.09,0.25,15.9,1,0,0,2.1,2.1,0.09,-0.1,-0.1,/en/squads/b8fd03ef/Manchester-City-Stats
16,1,1,15,5,33.3,15,5,0.07,0.2,17.8,0,0,0,0.8,0.8,0.05,0.2,0.2,/en/squads/5725cc7b/Marseille-Stats
16,1,1,12,4,33.3,12,4,0.08,0.25,22.2,0,0,1,1.5,0.7,0.06,-0.5,0.3,/en/squads/fd6114db/Monaco-Stats
16,1,0,1,1,100.0,1,1,0.0,0.0,5.9,0,0,0,0.2,0.2,0.17,-0.2,-0.2,/en/squads/d48ad4ff/Napoli-Stats
16,1,1,10,6,60.0,10,6,0.1,0.17,15.3,0,0,0,1.2,1.2,0.12,-0.2,-0.2,/en/squads/b2b47a98/Newcastle-United-Stats
16,1,0,18,3,16.7,18,3,0.0,0.0,15.9,0,0,0,1.5,1.5,0.08,-1.5,-1.5,/en/squads/2fdb4aef/Olympiacos-Stats
16,1,1,10,3,30.0,10,3,0.1,0.33,11.3,0,0,0,2.1,2.1,0.22,-1.1,-1.1,/en/squads/e334d850/PSV-Eindhoven-Stats
16,1,0,6,1,16.7,6,1,0.0,0.0,21.7,1,0,0,0.3,0.3,0.05,-0.3,-0.3,/en/squads/cb42669e/Pafos-FC-Stats
16,1,4,21,12,57.1,21,12,0.19,0.33,17.3,0,0,1,3.4,2.6,0.13,0.6,1.4,/en/squads/e2d8892c/Paris-Saint-Germain-Stats
15,1,3,10,5,50.0,10,5,0.3,0.6,15.5,0,0,0,1.5,1.5,0.15,1.5,1.5,/en/squads/44b65410/Qarabag-Stats
16,1,1,9,4,44.4,9,4,0.11,0.25,20.3,0,0,0,0.7,0.7,0.07,0.3,0.3,/en/squads/768fb565/Qairat-Almaty-Stats
15,1,2,26,13,50.0,26,13,0.0,0.0,17.3,0,2,2,3.6,2.2,0.08,-1.6,-2.2,/en/squads/53a2f082/Real-Madrid-Stats
16,1,2,26,10,38.5,26,10,0.08,0.2,15.8,1,0,0,3.9,3.9,0.15,-1.9,-1.9,/en/squads/111cbfb1/Slavia-Prague-Stats
16,1,4,20,7,35.0,20,7,0.2,0.57,17.4,0,0,1,3.7,3.0,0.15,0.3,1.0,/en/squads/13dc44fd/Sporting-CP-Stats
16,1,0,9,1,11.1,9,1,0.0,0.0,19.5,0,0,0,0.5,0.5,0.06,-0.5,-0.5,/en/squads/361ca564/Tottenham-Hotspur-Stats
14,1,3,17,6,35.3,17,6,0.12,0.33,16.6,1,1,1,3.0,2.2,0.15,0.0,-0.2,/en/squads/e14f61a5/Union-SG-Stats
16,1,0,10,0,0.0,10,0,0.0,,22.3,1,0,0,0.5,0.5,0.05,-0.5,-0.5,/en/squads/2a8183b3/Villarreal-Stats
