players_used,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,url
20,6.0,2204,2803,78.6,39968,13876,903,1045,86.4,970,1151,84.3,244,417,58.5,9,8.0,5.8,1.0,54,117,35,7,173,/en/squads/d609edc0/2019-2020/Internazionale-Stats
23,8.0,4500,5282,85.2,75892,24190,2095,2285,91.7,1816,2039,89.1,405,609,66.5,10,7.9,7.6,2.1,71,336,69,20,377,/en/squads/e0652b02/2019-2020/Juventus-Stats
20,6.0,3372,4060,83.1,56729,17312,1632,1806,90.4,1283,1451,88.4,320,534,59.9,2,6.0,5.1,-4.0,62,218,53,14,266,/en/squads/c7a9f859/2019-2020/Bayer-Leverkusen-Stats
21,6.0,1971,2626,75.1,33687,12657,865,1025,84.4,807,962,83.9,189,412,45.9,4,8.0,5.2,-4.0,70,143,39,9,211,/en/squads/cb188c0c/2019-2020/Lille-Stats
20,8.3,5240,6282,83.4,92842,29463,2393,2658,90.0,2143,2453,87.4,578,864,66.9,11,12.0,11.8,-1.0,110,472,124,21,564,/en/squads/822bd0ba/2019-2020/Liverpool-Stats
20,6.0,1517,2085,72.8,27504,12024,652,788,82.7,554,680,81.5,214,418,51.2,2,3.2,2.5,-1.2,38,105,18,5,140,/en/squads/5a8dc328/2019-2020/Lokomotiv-Moscow-Stats
24,10.0,3679,4704,78.2,65004,23262,1628,1841,88.4,1440,1720,83.7,436,780,55.9,9,7.8,6.6,1.2,83,268,55,18,354,/en/squads/d53c0b06/2019-2020/Lyon-Stats
23,9.0,5498,6313,87.1,89852,26242,2672,2878,92.8,2122,2334,90.9,450,663,67.9,18,20.0,19.7,-2.0,117,452,107,14,486,/en/squads/b8fd03ef/2019-2020/Manchester-City-Stats
24,8.0,3470,4229,82.1,58974,21041,1757,1960,89.6,1252,1448,86.5,355,568,62.5,6,8.3,6.5,-2.3,81,241,49,15,316,/en/squads/d48ad4ff/2019-2020/Napoli-Stats
17,6.0,2051,2627,78.1,37706,13570,883,1013,87.2,836,986,84.8,264,478,55.2,5,5.0,4.9,0.0,58,123,39,15,188,/en/squads/2fdb4aef/2019-2020/Olympiacos-Stats
24,11.0,5643,6611,85.4,85322,29877,3002,3239,92.7,1942,2187,88.8,358,645,55.5,20,21.3,17.9,-1.3,102,314,86,8,443,/en/squads/e2d8892c/2019-2020/Paris-Saint-Germain-Stats
25,10.0,5285,6434,82.1,85374,29666,2682,2981,90.0,1984,2299,86.3,409,710,57.6,10,9.9,11.1,0.1,110,450,125,32,563,/en/squads/acbb6a5b/2019-2020/RB-Leipzig-Stats
21,6.0,2061,2763,74.6,32897,14263,1060,1232,86.0,690,885,78.0,184,394,46.7,13,10.4,8.7,2.6,75,176,67,7,260,/en/squads/50f2a074/2019-2020/Red-Bull-Salzburg-Stats
25,8.0,4495,5226,86.0,76194,23894,2228,2397,92.9,1677,1908,87.9,448,647,69.2,14,13.5,11.4,0.5,113,328,100,20,410,/en/squads/53a2f082/2019-2020/Real-Madrid-Stats
19,6.0,1641,2193,74.8,28578,11684,787,911,86.4,664,831,79.9,158,358,44.1,2,2.2,2.1,-0.2,38,96,25,9,168,/en/squads/099c6eb5/2019-2020/Red-Star-Stats
18,6.0,2704,3198,84.6,45044,14877,1352,1477,91.5,1010,1126,89.7,244,408,59.8,6,6.5,5.7,-0.5,48,156,44,3,179,/en/squads/e89d5a28/2019-2020/Shakhtar-Donetsk-Stats
20,6.0,2436,3102,78.5,43795,16145,1169,1361,85.9,939,1115,84.2,293,490,59.8,3,6.5,5.6,-3.5,59,188,49,13,272,/en/squads/111cbfb1/2019-2020/Slavia-Prague-Stats
28,8.0,3554,4312,82.4,57860,19706,1738,1918,90.6,1423,1620,87.8,256,500,51.2,15,11.6,9.5,3.4,75,217,74,18,298,/en/squads/361ca564/2019-2020/Tottenham-Hotspur-Stats
23,8.0,3036,3863,78.6,56160,21381,1316,1511,87.1,1291,1483,87.1,359,661,54.3,9,10.8,9.0,-1.8,76,234,55,17,306,/en/squads/dcc91a7b/2019-2020/Valencia-Stats
19,6.0,1882,2543,74.0,35853,15578,800,931,85.9,704,885,79.5,286,526,54.4,5,5.5,5.3,-0.5,45,148,44,13,175,/en/squads/98ce363d/2019-2020/Zenit-Stats
